subjID,run,RT,MAD,AD,MD_above,AUC
134,congruent,1194.214286,0.479077211,0.123996219,0.497627981,0.293113975
134,incongruent,1273.152174,0.559759515,0.148837647,0.565339174,0.286612719
135,congruent,1158.606061,0.150580425,0.027850248,0.174742082,0.112109134
135,incongruent,1290.4,0.292722984,0.064533704,0.319165382,0.160826955
136,congruent,1091.680851,0.566838201,0.157884595,0.576855194,0.412976783
136,incongruent,1555.264368,0.640364267,0.231527101,0.646335536,0.426642048
137,congruent,1582.21,0.304626043,0.088412972,0.371597599,0.147870572
137,incongruent,2689.594595,0.709046332,0.22481323,0.724250514,0.361981047
138,congruent,2193.223404,0.956992396,0.364991362,0.965016234,0.474706661
138,incongruent,2274.865854,0.821152893,0.271393765,0.826281302,0.383293592
139,congruent,1050.505051,0.529701026,0.203483913,0.530593112,0.327058787
139,incongruent,1174.74,0.816728772,0.271310602,0.816728772,0.494577862
140,congruent,1427.540816,0.675687837,0.169713835,0.704809206,0.338199031
140,incongruent,1787.120879,0.492103009,0.144288906,0.58242819,0.201945201
141,congruent,1356.56,0.66008102,0.182261736,0.702825234,0.419214866
141,incongruent,2049.163265,0.850838745,0.246549421,0.881617316,0.487496733
142,congruent,1226.75,0.704875445,0.181048645,0.72026861,0.428582034
142,incongruent,1508.963415,0.90232457,0.246978018,0.910299562,0.544611705
143,congruent,1113.913043,0.152083283,0.060874023,0.208484476,0.089938922
143,incongruent,1412,1.314579389,0.465122375,1.322254671,0.768610049
144,congruent,887.7978723,0.191109831,0.06022291,0.282269715,0.120964443
144,incongruent,1255.202247,0.305630102,0.071770192,0.375890457,0.054239132
145,congruent,1486.260417,0.200120979,0.049705502,0.253814335,0.13973051
145,incongruent,1682.04,0.497349799,0.131970055,0.516149758,0.351136542
146,congruent,875.3505155,0.813127996,0.213499013,0.819032903,0.555947636
146,incongruent,1034.020408,0.592664431,0.150217493,0.618236934,0.397590589
147,congruent,1571.98,0.410226047,0.1773485,0.415702844,0.25524334
147,incongruent,2118.857143,0.576097181,0.248309978,0.588834655,0.369031641
149,congruent,850.1428571,0.032995793,0.011538738,0.084674667,0.010570768
149,incongruent,963.05,0.08556699,0.019790883,0.148057196,0.029992616
150,congruent,1277.565657,0.451735569,0.108447625,0.466925434,0.39434289
150,incongruent,1886.647059,0.7995468,0.231992991,0.82942938,0.619814717
151,congruent,1983.71,0.374016025,0.112627954,0.394352148,0.248936321
151,incongruent,2614.775862,0.415078567,0.122863121,0.469801297,0.250382155
153,congruent,951.6530612,0.928784632,0.314612064,0.9353293,0.821529706
153,incongruent,1308.851852,0.796732462,0.267141002,0.801246554,0.62651547
154,congruent,1110.070707,0.53885495,0.170848212,0.555876108,0.363397913
154,incongruent,1280.87234,0.603998279,0.173455195,0.621455976,0.347475245
158,congruent,850.3265306,0.420575263,0.098111941,0.46651205,0.302974588
158,incongruent,1047.787879,0.541433937,0.139227901,0.621834705,0.337968247
160,congruent,1075.777778,0.530090158,0.126628835,0.549260226,0.348885811
160,incongruent,1323.389474,0.555343801,0.148236509,0.585151375,0.347251843
161,congruent,1556.145833,0.440374025,0.131826414,0.473232957,0.221171516
161,incongruent,2342.52,0.550551568,0.189107377,0.565841362,0.282190186
163,congruent,917.3232323,0.590672695,0.135908872,0.616842439,0.399515626
163,incongruent,968.0752688,0.618288994,0.147300652,0.636907171,0.391801564
164,congruent,1262.103093,0.274762367,0.059041696,0.290301884,0.20367262
164,incongruent,1785.762887,0.284923862,0.076208149,0.312156503,0.217727046
165,congruent,1031.060606,0.441129707,0.144855668,0.45065636,0.354690427
165,incongruent,1468.792453,0.494466863,0.158271963,0.494466863,0.370571729
